"run_id","scenario_id","phase","request_index","timestamp_utc","endpoint","timeout_sec","injected_delay_ms","elapsed_ms","http_status","success","reachable","error_type","error_message"
"20260513-142323","CHS-001-API-DOWN","fault","1","2026-05-13T09:23:25.9358701Z","http://127.0.0.1:65535/api/v1/landing","3","0","2072.82","REQUEST_ERROR","False","False","System.Net.Http.HttpRequestException","Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение. (127.0.0.1:65535)"
"20260513-142323","CHS-001-API-DOWN","fault","2","2026-05-13T09:23:27.9942141Z","http://127.0.0.1:65535/api/v1/landing","3","0","2047.13","REQUEST_ERROR","False","False","System.Net.Http.HttpRequestException","Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение. (127.0.0.1:65535)"
"20260513-142323","CHS-001-API-DOWN","fault","3","2026-05-13T09:23:30.0363724Z","http://127.0.0.1:65535/api/v1/landing","3","0","2041.57","REQUEST_ERROR","False","False","System.Net.Http.HttpRequestException","Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение. (127.0.0.1:65535)"
"20260513-142323","CHS-001-API-DOWN","fault","4","2026-05-13T09:23:32.0828205Z","http://127.0.0.1:65535/api/v1/landing","3","0","2045.93","REQUEST_ERROR","False","False","System.Net.Http.HttpRequestException","Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение. (127.0.0.1:65535)"
"20260513-142323","CHS-001-API-DOWN","fault","5","2026-05-13T09:23:34.1331965Z","http://127.0.0.1:65535/api/v1/landing","3","0","2049.8","REQUEST_ERROR","False","False","System.Net.Http.HttpRequestException","Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение. (127.0.0.1:65535)"
"20260513-142323","CHS-001-API-DOWN","fault","6","2026-05-13T09:23:36.1744617Z","http://127.0.0.1:65535/api/v1/landing","3","0","2040.82","REQUEST_ERROR","False","False","System.Net.Http.HttpRequestException","Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение. (127.0.0.1:65535)"
"20260513-142323","CHS-001-API-DOWN","recovery","1","2026-05-13T09:23:39.1626199Z","http://localhost/api/v1/landing","15","0","2985.48","200","True","True","",""
"20260513-142323","CHS-001-API-DOWN","recovery","2","2026-05-13T09:23:42.6906766Z","http://localhost/api/v1/landing","15","0","3524.16","200","True","True","",""
"20260513-142323","CHS-001-API-DOWN","recovery","3","2026-05-13T09:23:46.1103064Z","http://localhost/api/v1/landing","15","0","3418.58","200","True","True","",""
"20260513-142323","CHS-001-API-DOWN","recovery","4","2026-05-13T09:23:49.5247998Z","http://localhost/api/v1/landing","15","0","3413.59","200","True","True","",""
"20260513-142323","CHS-002-DB-SLOWDOWN","fault","1","2026-05-13T09:23:54.2767719Z","http://localhost/api/v1/catalog-db","1","0","1020.08","REQUEST_ERROR","False","False","System.Threading.Tasks.TaskCanceledException","The request was canceled due to the configured HttpClient.Timeout of 1 seconds elapsing."
"20260513-142323","CHS-002-DB-SLOWDOWN","fault","2","2026-05-13T09:23:55.2798521Z","http://localhost/api/v1/catalog-db","1","0","1002.71","REQUEST_ERROR","False","False","System.Threading.Tasks.TaskCanceledException","The request was canceled due to the configured HttpClient.Timeout of 1 seconds elapsing."
"20260513-142323","CHS-002-DB-SLOWDOWN","fault","3","2026-05-13T09:23:56.2912234Z","http://localhost/api/v1/catalog-db","1","0","1011.03","REQUEST_ERROR","False","False","System.Threading.Tasks.TaskCanceledException","The request was canceled due to the configured HttpClient.Timeout of 1 seconds elapsing."
"20260513-142323","CHS-002-DB-SLOWDOWN","fault","4","2026-05-13T09:23:57.3039848Z","http://localhost/api/v1/catalog-db","1","0","1012.46","REQUEST_ERROR","False","False","System.Threading.Tasks.TaskCanceledException","The request was canceled due to the configured HttpClient.Timeout of 1 seconds elapsing."
"20260513-142323","CHS-002-DB-SLOWDOWN","fault","5","2026-05-13T09:23:58.3115307Z","http://localhost/api/v1/catalog-db","1","0","1007.22","REQUEST_ERROR","False","False","System.Threading.Tasks.TaskCanceledException","The request was canceled due to the configured HttpClient.Timeout of 1 seconds elapsing."
"20260513-142323","CHS-002-DB-SLOWDOWN","fault","6","2026-05-13T09:23:59.3231444Z","http://localhost/api/v1/catalog-db","1","0","1011.22","REQUEST_ERROR","False","False","System.Threading.Tasks.TaskCanceledException","The request was canceled due to the configured HttpClient.Timeout of 1 seconds elapsing."
"20260513-142323","CHS-002-DB-SLOWDOWN","recovery","1","2026-05-13T09:24:02.8458537Z","http://localhost/api/v1/catalog-db","15","0","3522.41","200","True","True","",""
"20260513-142323","CHS-002-DB-SLOWDOWN","recovery","2","2026-05-13T09:24:06.3044536Z","http://localhost/api/v1/catalog-db","15","0","3458.2","200","True","True","",""
"20260513-142323","CHS-002-DB-SLOWDOWN","recovery","3","2026-05-13T09:24:09.7775530Z","http://localhost/api/v1/catalog-db","15","0","3472.78","200","True","True","",""
"20260513-142323","CHS-002-DB-SLOWDOWN","recovery","4","2026-05-13T09:24:13.3609659Z","http://localhost/api/v1/catalog-db","15","0","3583.09","200","True","True","",""
"20260513-142323","CHS-003-NET-LATENCY","fault","1","2026-05-13T09:24:21.5516801Z","http://localhost/api/v1/landing","15","1500","3241.96","200","True","True","",""
"20260513-142323","CHS-003-NET-LATENCY","fault","2","2026-05-13T09:24:26.4958801Z","http://localhost/api/v1/landing","15","1500","3444","200","True","True","",""
"20260513-142323","CHS-003-NET-LATENCY","fault","3","2026-05-13T09:24:31.4914520Z","http://localhost/api/v1/landing","15","1500","3495.33","200","True","True","",""
"20260513-142323","CHS-003-NET-LATENCY","fault","4","2026-05-13T09:24:36.4715029Z","http://localhost/api/v1/landing","15","1500","3479.68","200","True","True","",""
"20260513-142323","CHS-003-NET-LATENCY","fault","5","2026-05-13T09:24:41.5333301Z","http://localhost/api/v1/landing","15","1500","3561.21","200","True","True","",""
"20260513-142323","CHS-003-NET-LATENCY","fault","6","2026-05-13T09:24:46.4472678Z","http://localhost/api/v1/landing","15","1500","3413.59","200","True","True","",""
"20260513-142323","CHS-003-NET-LATENCY","recovery","1","2026-05-13T09:24:49.8732099Z","http://localhost/api/v1/landing","15","0","3425.72","200","True","True","",""
"20260513-142323","CHS-003-NET-LATENCY","recovery","2","2026-05-13T09:24:53.3568489Z","http://localhost/api/v1/landing","15","0","3483.36","200","True","True","",""
"20260513-142323","CHS-003-NET-LATENCY","recovery","3","2026-05-13T09:24:56.7990371Z","http://localhost/api/v1/landing","15","0","3441.92","200","True","True","",""
"20260513-142323","CHS-003-NET-LATENCY","recovery","4","2026-05-13T09:25:00.2625583Z","http://localhost/api/v1/landing","15","0","3463.06","200","True","True","",""
"20260513-142323","CHS-004-CPU-PRESSURE","fault","1","2026-05-13T09:25:06.6900612Z","http://localhost/api/v1/landing","15","0","3468.3","200","True","True","",""
"20260513-142323","CHS-004-CPU-PRESSURE","fault","2","2026-05-13T09:25:10.1463843Z","http://localhost/api/v1/landing","15","0","3456.17","200","True","True","",""
"20260513-142323","CHS-004-CPU-PRESSURE","fault","3","2026-05-13T09:25:13.6566559Z","http://localhost/api/v1/landing","15","0","3510.11","200","True","True","",""
"20260513-142323","CHS-004-CPU-PRESSURE","fault","4","2026-05-13T09:25:17.1528068Z","http://localhost/api/v1/landing","15","0","3495.96","200","True","True","",""
"20260513-142323","CHS-004-CPU-PRESSURE","fault","5","2026-05-13T09:25:20.6540260Z","http://localhost/api/v1/landing","15","0","3501.12","200","True","True","",""
"20260513-142323","CHS-004-CPU-PRESSURE","fault","6","2026-05-13T09:25:23.7979706Z","http://localhost/api/v1/landing","15","0","3143.77","200","True","True","",""
"20260513-142323","CHS-004-CPU-PRESSURE","recovery","1","2026-05-13T09:25:27.4628246Z","http://localhost/api/v1/landing","15","0","3627.94","200","True","True","",""
"20260513-142323","CHS-004-CPU-PRESSURE","recovery","2","2026-05-13T09:25:31.1298082Z","http://localhost/api/v1/landing","15","0","3665.39","200","True","True","",""
"20260513-142323","CHS-004-CPU-PRESSURE","recovery","3","2026-05-13T09:25:34.6805818Z","http://localhost/api/v1/landing","15","0","3550.56","200","True","True","",""
"20260513-142323","CHS-004-CPU-PRESSURE","recovery","4","2026-05-13T09:25:38.1715370Z","http://localhost/api/v1/landing","15","0","3490.77","200","True","True","",""
