"run_id","mutant_id","module","component","file","mutation_type","tests_executed","status","exit_code","elapsed_ms","started_at","log_file","notes"
"20260513-140552","MUT-INTB-001","Integration Boundary Middleware","EnsureIntegrationBoundary::handle","app/Http/Middleware/EnsureIntegrationBoundary.php","Guard condition inversion","tests/Feature/Api/IntegrationBoundarySkeletonTest.php | tests/Feature/Api/Integration/IntegrationRateLimitTest.php","Killed","1","12777.58","2026-05-13T14:05:52.4935228+05:00",".\qa\phase3\evidence\logs\phase3-mutation-MUT-INTB-001-20260513-140552.log",""
"20260513-140552","MUT-INTB-002","Integration Boundary Middleware","EnsureIntegrationBoundary::handle","app/Http/Middleware/EnsureIntegrationBoundary.php","Logical operator change","tests/Feature/Api/IntegrationBoundarySkeletonTest.php | tests/Feature/Api/Integration/IntegrationRateLimitTest.php","Killed","1","12814.37","2026-05-13T14:06:05.2832918+05:00",".\qa\phase3\evidence\logs\phase3-mutation-MUT-INTB-002-20260513-140552.log",""
"20260513-140552","MUT-INTB-003","Integration Boundary Middleware","EnsureIntegrationBoundary::isTokenAllowed","app/Http/Middleware/EnsureIntegrationBoundary.php","Return value modification","tests/Feature/Api/IntegrationBoundarySkeletonTest.php | tests/Feature/Api/Integration/IntegrationRateLimitTest.php","Killed","1","1896.17","2026-05-13T14:06:18.0986280+05:00",".\qa\phase3\evidence\logs\phase3-mutation-MUT-INTB-003-20260513-140552.log",""
"20260513-140552","MUT-RDR-001","Integration Reservations Read API","ReservationReadController::index","app/Http/Controllers/Api/Integration/ReservationReadController.php","Logical operator change","tests/Feature/Api/Integration/ReservationReadTest.php","Killed","1","23232.25","2026-05-13T14:06:19.9960112+05:00",".\qa\phase3\evidence\logs\phase3-mutation-MUT-RDR-001-20260513-140552.log",""
"20260513-140552","MUT-RDR-002","Integration Reservations Read API","ReservationReadController::show","app/Http/Controllers/Api/Integration/ReservationReadController.php","Guard condition inversion","tests/Feature/Api/Integration/ReservationReadTest.php","Killed","1","12725.43","2026-05-13T14:06:43.2284227+05:00",".\qa\phase3\evidence\logs\phase3-mutation-MUT-RDR-002-20260513-140552.log",""
"20260513-140552","MUT-RDR-003","Integration Reservations Read API","ReservationReadController::index","app/Http/Controllers/Api/Integration/ReservationReadController.php","Logical operator change","tests/Feature/Api/Integration/ReservationReadTest.php","Killed","1","23226.58","2026-05-13T14:06:55.9543012+05:00",".\qa\phase3\evidence\logs\phase3-mutation-MUT-RDR-003-20260513-140552.log",""
"20260513-140552","MUT-MUT-001","Integration Reservations Mutate API","ReservationMutateController::approve","app/Http/Controllers/Api/Integration/ReservationMutateController.php","Guard condition inversion","tests/Feature/Api/Integration/ReservationMutateTest.php","Killed","1","23451.06","2026-05-13T14:07:19.1808082+05:00",".\qa\phase3\evidence\logs\phase3-mutation-MUT-MUT-001-20260513-140552.log",""
"20260513-140552","MUT-MUT-002","Integration Reservations Mutate API","ReservationMutateController::approve","app/Http/Controllers/Api/Integration/ReservationMutateController.php","Guard condition inversion","tests/Feature/Api/Integration/ReservationMutateTest.php","Killed","1","23510.55","2026-05-13T14:07:42.6317375+05:00",".\qa\phase3\evidence\logs\phase3-mutation-MUT-MUT-002-20260513-140552.log",""
"20260513-140552","MUT-MUT-003","Integration Reservations Mutate API","ReservationMutateController::reject","app/Http/Controllers/Api/Integration/ReservationMutateController.php","Logical operator change","tests/Feature/Api/Integration/ReservationMutateTest.php","Killed","1","23245.1","2026-05-13T14:08:06.1420557+05:00",".\qa\phase3\evidence\logs\phase3-mutation-MUT-MUT-003-20260513-140552.log",""
"20260513-140552","MUT-MUT-004","Integration Reservations Mutate API","ReservationMutateController::context","app/Http/Controllers/Api/Integration/ReservationMutateController.php","Key lookup alteration","tests/Feature/Api/Integration/ReservationMutateTest.php","Survived","0","12471.51","2026-05-13T14:08:29.3869912+05:00",".\qa\phase3\evidence\logs\phase3-mutation-MUT-MUT-004-20260513-140552.log",""
"20260513-140552","MUT-DOC-001","Integration Document Management API","DocumentManagementController::show","app/Http/Controllers/Api/Integration/DocumentManagementController.php","Guard condition inversion","tests/Feature/Api/Integration/DocumentManagementTest.php","Killed","1","18145.75","2026-05-13T14:08:41.8588415+05:00",".\qa\phase3\evidence\logs\phase3-mutation-MUT-DOC-001-20260513-140552.log",""
"20260513-140552","MUT-DOC-002","Integration Document Management API","DocumentManagementController::patch","app/Http/Controllers/Api/Integration/DocumentManagementController.php","Guard condition inversion","tests/Feature/Api/Integration/DocumentManagementTest.php","Killed","1","18228.87","2026-05-13T14:09:00.0050260+05:00",".\qa\phase3\evidence\logs\phase3-mutation-MUT-DOC-002-20260513-140552.log",""
"20260513-140552","MUT-DOC-003","Integration Document Management API","DocumentManagementController::index","app/Http/Controllers/Api/Integration/DocumentManagementController.php","Constant alteration","tests/Feature/Api/Integration/DocumentManagementTest.php","Killed","1","23508.25","2026-05-13T14:09:18.2338761+05:00",".\qa\phase3\evidence\logs\phase3-mutation-MUT-DOC-003-20260513-140552.log",""
"20260513-140552","MUT-DOC-004","Integration Document Management API","DocumentManagementController::context","app/Http/Controllers/Api/Integration/DocumentManagementController.php","Key lookup alteration","tests/Feature/Api/Integration/DocumentManagementTest.php","Survived","0","12659.44","2026-05-13T14:09:41.7418381+05:00",".\qa\phase3\evidence\logs\phase3-mutation-MUT-DOC-004-20260513-140552.log",""
