scenario_id,module,endpoint,load_type,total_requests,success_count,fail_count,error_rate_pct,avg_ms,median_ms,p95_ms,min_ms,max_ms,throughput_rps,total_elapsed_sec,threshold_ms,p95_pass,error_rate_pass,scenario_passed,dataset_type,environment,run_id,timestamp
S01-NL-CATALOG,Catalog/Public API,GET /api/v1/landing,normal_load,20,20,0,0.0,3443.66,3462.75,3553.05,3068.42,3592.31,0.29,68.946,5000,TRUE,TRUE,TRUE,bounded_synthetic,local_nginx_php84,20260513-133438,2026-05-13T13:35:47Z
S02-PL-CATALOG,Catalog/Public API,GET /api/v1/catalog-db?limit=10,peak_load,30,30,0,0.0,3497.38,3584.38,3796.10,2742.78,4014.69,0.286,104.958,6000,TRUE,TRUE,TRUE,bounded_synthetic,local_nginx_php84,20260513-133438,2026-05-13T13:37:32Z
S03-NL-SUBJECTS,Catalog/Public API,GET /api/v1/subjects,normal_load,20,20,0,0.0,3359.51,3233.23,3969.37,2831.09,4417.13,0.298,67.211,5000,TRUE,TRUE,TRUE,bounded_synthetic,local_nginx_php84,20260513-133438,2026-05-13T13:38:39Z
S04-SL-MIXED,Catalog/Public API,GET /api/v1/landing + /api/v1/subjects,spike_load,20,20,0,0.0,3464.90,3434.04,3659.68,2734.71,4894.81,0.289,69.319,6000,TRUE,TRUE,TRUE,bounded_synthetic,local_nginx_php84,20260513-133438,2026-05-13T13:39:48Z
S05-NL-EXTRES,External Resources,GET /api/v1/external-resources,normal_load,20,20,0,0.0,3077.66,3147.37,3334.84,2176.44,3382.91,0.325,61.613,5000,TRUE,TRUE,TRUE,bounded_synthetic,local_nginx_php84,20260513-134213,2026-05-13T13:43:15Z
S06-NL-WEBCATALOG,Web Catalog UI,GET /catalog,normal_load,10,10,0,0.0,3784.74,3734.60,4037.13,3550.00,4037.13,0.264,37.861,8000,TRUE,TRUE,TRUE,bounded_synthetic,local_nginx_php84,20260513-134213,2026-05-13T13:43:53Z
S07-PL-WEBCATALOG,Web Catalog UI,GET /catalog,peak_load,20,20,0,0.0,3639.72,3723.84,4014.71,2784.19,4188.03,0.275,72.819,10000,TRUE,TRUE,TRUE,bounded_synthetic,local_nginx_php84,20260513-134213,2026-05-13T13:45:06Z
S08A-NO-AUTH,Integration API,GET /api/integration/v1/_boundary/ping (no-auth),boundary_auth,10,0,10,100.0,3331.68,3374.42,3661.04,2360.61,3661.04,0.300,33.317,2000,FALSE,FALSE,FALSE,bounded_synthetic,local_nginx_php84,20260513-134513,2026-05-13T13:46:17Z
S08B-BAD-TOKEN,Integration API,GET /api/integration/v1/_boundary/ping (bad-token),boundary_auth,10,0,10,100.0,3142.56,3230.91,3329.11,2227.53,3329.11,0.318,31.426,2000,FALSE,FALSE,FALSE,bounded_synthetic,local_nginx_php84,20260513-134513,2026-05-13T13:46:17Z
S09-END-CATALOG,Catalog/Public API,GET /api/v1/landing,endurance,40,40,0,0.0,3454.20,3464.23,3562.67,3163.47,3713.70,0.289,138.209,6000,TRUE,TRUE,TRUE,bounded_synthetic,local_nginx_php84,20260513-133438,2026-05-13T13:42:06Z
